filename,width,height,class,xmin,ymin,xmax,ymax
abraham_grampa_simpson_0000.jpg,576,416,abraham_grampa_simpson,57,72,52,72
abraham_grampa_simpson_0001.jpg,496,368,abraham_grampa_simpson,80,31,337,354
abraham_grampa_simpson_0002.jpg,288,416,abraham_grampa_simpson,128,48,285,407
abraham_grampa_simpson_0003.jpg,288,432,abraham_grampa_simpson,72,126,158,275
abraham_grampa_simpson_0004.jpg,320,480,abraham_grampa_simpson,123,61,294,416
abraham_grampa_simpson_0005.jpg,576,416,abraham_grampa_simpson,115,18,498,413
abraham_grampa_simpson_0006.jpg,576,416,abraham_grampa_simpson,171,47,423,413
abraham_grampa_simpson_0007.jpg,576,416,abraham_grampa_simpson,120,53,381,409
abraham_grampa_simpson_0008.jpg,576,416,abraham_grampa_simpson,149,56,398,406
abraham_grampa_simpson_0009.jpg,640,464,abraham_grampa_simpson,205,41,470,456
abraham_grampa_simpson_0010.jpg,288,432,abraham_grampa_simpson,71,29,265,424
abraham_grampa_simpson_0011.jpg,288,416,abraham_grampa_simpson,2,24,176,408
abraham_grampa_simpson_0012.jpg,320,480,abraham_grampa_simpson,132,166,240,346
abraham_grampa_simpson_0013.jpg,576,416,abraham_grampa_simpson,61,38,418,404
abraham_grampa_simpson_0014.jpg,640,480,abraham_grampa_simpson,144,46,467,474
abraham_grampa_simpson_0015.jpg,576,416,abraham_grampa_simpson,124,47,417,400
abraham_grampa_simpson_0016.jpg,640,480,abraham_grampa_simpson,264,129,496,471
abraham_grampa_simpson_0017.jpg,320,480,abraham_grampa_simpson,6,9,173,466
abraham_grampa_simpson_0019.jpg,288,432,abraham_grampa_simpson,110,54,273,417
abraham_grampa_simpson_0020.jpg,320,480,abraham_grampa_simpson,124,71,285,44
abraham_grampa_simpson_0021.jpg,288,416,abraham_grampa_simpson,8,11,248,411
abraham_grampa_simpson_0022.jpg,288,416,abraham_grampa_simpson,9,12,238,410
abraham_grampa_simpson_0023.jpg,640,464,abraham_grampa_simpson,199,67,408,456
abraham_grampa_simpson_0024.jpg,576,416,abraham_grampa_simpson,2,6,570,412
abraham_grampa_simpson_0025.jpg,320,480,abraham_grampa_simpson,11,92,198,472
abraham_grampa_simpson_0026.jpg,320,480,abraham_grampa_simpson,77,42,259,398
abraham_grampa_simpson_0027.jpg,256,379,abraham_grampa_simpson,55,40,237,329
abraham_grampa_simpson_0028.jpg,576,416,abraham_grampa_simpson,102,16,448,404
abraham_grampa_simpson_0029.jpg,576,432,abraham_grampa_simpson,154,9,465,410
abraham_grampa_simpson_0030.jpg,288,432,abraham_grampa_simpson,38,24,235,423
abraham_grampa_simpson_0031.jpg,320,480,abraham_grampa_simpson,3,101,160,472
abraham_grampa_simpson_0032.jpg,288,416,abraham_grampa_simpson,89,69,279,363
abraham_grampa_simpson_0033.jpg,288,416,abraham_grampa_simpson,83,77,272,354
abraham_grampa_simpson_0034.jpg,640,480,abraham_grampa_simpson,264,24,549,429
abraham_grampa_simpson_0035.jpg,288,416,abraham_grampa_simpson,60,57,275,398
abraham_grampa_simpson_0036.jpg,288,416,abraham_grampa_simpson,57,57,278,401
abraham_grampa_simpson_0037.jpg,288,416,abraham_grampa_simpson,29,65,250,330
abraham_grampa_simpson_0038.jpg,576,416,abraham_grampa_simpson,152,16,438,402
abraham_grampa_simpson_0039.jpg,576,416,abraham_grampa_simpson,182,71,418,400
abraham_grampa_simpson_0040.jpg,288,432,abraham_grampa_simpson,79,18,279,419
abraham_grampa_simpson_0041.jpg,288,432,abraham_grampa_simpson,99,63,286,421
abraham_grampa_simpson_0042.jpg,312,352,abraham_grampa_simpson,43,47,228,351
abraham_grampa_simpson_0043.jpg,312,352,abraham_grampa_simpson,19,55,169,347
abraham_grampa_simpson_0044.jpg,288,416,abraham_grampa_simpson,52,59,283,404
abraham_grampa_simpson_0045.jpg,576,432,abraham_grampa_simpson,163,67,453,421
abraham_grampa_simpson_0046.jpg,288,432,abraham_grampa_simpson,0,80,128,427
abraham_grampa_simpson_0047.jpg,312,352,abraham_grampa_simpson,31,74,230,337
abraham_grampa_simpson_0048.jpg,288,432,abraham_grampa_simpson,0,3,187,416
abraham_grampa_simpson_0049.jpg,576,432,abraham_grampa_simpson,118,10,378,417
abraham_grampa_simpson_0050.jpg,288,432,abraham_grampa_simpson,2,0,198,413
abraham_grampa_simpson_0051.jpg,288,432,abraham_grampa_simpson,7,42,276,420
abraham_grampa_simpson_0052.jpg,288,432,abraham_grampa_simpson,0,66,81,423
abraham_grampa_simpson_0053.jpg,288,432,abraham_grampa_simpson,78,51,207,209
abraham_grampa_simpson_0054.jpg,288,432,abraham_grampa_simpson,0,32,191,427
abraham_grampa_simpson_0055.jpg,288,432,abraham_grampa_simpson,0,37,186,420
abraham_grampa_simpson_0056.jpg,288,432,abraham_grampa_simpson,6,8,198,423
abraham_grampa_simpson_0057.jpg,288,432,abraham_grampa_simpson,26,31,178,423
abraham_grampa_simpson_0058.jpg,288,432,abraham_grampa_simpson,21,43,276,418
abraham_grampa_simpson_0059.jpg,288,432,abraham_grampa_simpson,38,54,276,419
abraham_grampa_simpson_0060.jpg,288,432,abraham_grampa_simpson,3,2,201,417
abraham_grampa_simpson_0061.jpg,576,432,abraham_grampa_simpson,265,50,565,420
abraham_grampa_simpson_0062.jpg,576,416,abraham_grampa_simpson,173,4,510,411
abraham_grampa_simpson_0063.jpg,576,416,abraham_grampa_simpson,176,0,530,407
abraham_grampa_simpson_0064.jpg,288,432,abraham_grampa_simpson,28,52,275,421
abraham_grampa_simpson_0065.jpg,288,416,abraham_grampa_simpson,0,5,218,407
abraham_grampa_simpson_0066.jpg,288,416,abraham_grampa_simpson,231,407,243,401
abraham_grampa_simpson_0067.jpg,288,432,abraham_grampa_simpson,28,22,171,424
abraham_grampa_simpson_0068.jpg,288,416,abraham_grampa_simpson,102,7,276,400
abraham_grampa_simpson_0069.jpg,288,416,abraham_grampa_simpson,82,7,272,400
abraham_grampa_simpson_0070.jpg,288,416,abraham_grampa_simpson,21,10,203,381
abraham_grampa_simpson_0071.jpg,288,432,abraham_grampa_simpson,55,60,245,426
abraham_grampa_simpson_0072.jpg,576,432,abraham_grampa_simpson,147,60,453,428
abraham_grampa_simpson_0073.jpg,288,432,abraham_grampa_simpson,62,74,237,428
abraham_grampa_simpson_0074.jpg,576,416,abraham_grampa_simpson,92,64,411,402
abraham_grampa_simpson_0076.jpg,576,416,abraham_grampa_simpson,6,8,354,409
abraham_grampa_simpson_0077.jpg,576,416,abraham_grampa_simpson,284,67,491,410
